Reporting Period,Project Number,Legacy Project Number,Street Address,City,County,State,ZIP Code,Incorporated Municipality,Municipality Type,Census Tract,Sector,Program Type,Solicitation,Electric Utility,Purchase Type,Date Application Received,Date Completed,Project Status,Contractor,Minority or Women Owned Business Enterprise (MWBE),Primary Inverter Manufacturer,Primary Inverter Model Number,Total Inverter Quantity,Primary PV Module Manufacturer,PV Module Model Number,Total PV Module Quantity,Project Cost,$Incentive,Total Nameplate kW DC,Expected KWh Annual Production,Remote Net Metering,Affordable Solar,Community Distributed Generation,Green Jobs Green New York Participant,Latitude,Longitude,Georeference
11/30/2022,251773,,,Port Washington,Nassau,NY,11050,North Hempstead,Town,36059301200,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,6/27/2020,9/14/2020,Complete,"SuNation Solar Systems, Inc.",No,Enphase Energy Inc.,IQ7X-96-x-US-& [240V],18,SANYO ELECTRIC CO LTD OF PANASONIC GROUP,VBHN330SA17E,18,23837,,5.94,7153,,No,No,Yes,40.8240114,-73.7032951,POINT (-73.7032951 40.8240114)
11/30/2022,191576,,,Mineola,Nassau,NY,11501,North Hempstead,Town,36059303500,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,6/24/2019,9/5/2019,Complete,"SuNation Solar Systems, Inc.",No,Enphase Energy Inc.,IQ7-60-x-US [240V],16,Trina Solar,TSM-305DD05A.05(II),16,20240.86,,4.88,4918,,No,No,Yes,40.7471425,-73.6510435,POINT (-73.6510435 40.7471425)
11/30/2022,232405,,,Levittown,Nassau,NY,11756,Hempstead,Town,36059409300,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,1/23/2020,6/29/2020,Complete,"SuNation Solar Systems, Inc.",No,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],18,"S-Energy Co., Ltd.",SN370M-10(B),18,27907,,6.66,7175,,No,No,Yes,40.7081283,-73.5120958,POINT (-73.5120958 40.7081283)
11/30/2022,261086,,,Farmingdale,Nassau,NY,11735,Oyster Bay,Town,36059520502,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,12/21/2020,6/8/2021,Complete,EmPower Solar,No,SunPower,SPR-A415-G-AC [240V],16,Sunpower,SPR-A415-G-AC,16,24667.87,,6.64,7595,,No,No,Yes,40.713401,-73.4498487,POINT (-73.4498487 40.713401)
11/30/2022,225621,,,Jericho,Nassau,NY,11753,Oyster Bay,Town,36059518600,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,12/9/2019,2/13/2020,Complete,"SuNation Solar Systems, Inc.",No,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],16,"S-Energy Co., Ltd.",SN370M-10(B),16,29205,,5.92,6217,,No,No,Yes,40.7931613,-73.5271662,POINT (-73.5271662 40.7931613)
11/30/2022,234878,,,Bethpage,Nassau,NY,11714,Oyster Bay,Town,36059520001,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,2/24/2020,3/31/2020,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7-60-x-ACM-US [240V],16,"S-Energy Co., Ltd.",SN310M-10(B),16,21652.24,,4.96,5578,,No,No,Yes,40.7478914,-73.491996,POINT (-73.491996 40.7478914)
11/30/2022,149307,,,Glen Cove,Nassau,NY,11542,Glen Cove,City,36059517200,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,9/7/2018,9/25/2018,Complete,Sunrise Energy Corp.,No,Enphase Energy Inc.,IQ6PLUS-72-x-US [240V],34,LG Electronics Inc.,LG335N1C-A5,34,41231.8,,11.39,12377,,No,No,Yes,40.8560058,-73.630291,POINT (-73.630291 40.8560058)
11/30/2022,118470,,,Massapequa,Nassau,NY,11758,Oyster Bay,Town,36059521000,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,4/20/2018,6/1/2018,Complete,"SuNation Solar Systems, Inc.",No,SolarEdge Technologies Ltd.,SE10000A-US [240V],1,Silfab,SLA310M,29,31375.1,,8.99,12201,,No,No,Yes,40.6973447,-73.4590982,POINT (-73.4590982 40.6973447)
11/30/2022,286266,,,Wantagh,Nassau,NY,11793,Hempstead,Town,36059415700,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,1/25/2021,6/10/2021,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],19,Hanwha Q CELLS,Q.PEAK DUO BLK ML-G9+ 380,19,28964.01,,7.22,9442,,No,No,Yes,40.6472281,-73.5114595,POINT (-73.5114595 40.6472281)
11/30/2022,195241,,,Massapequa,Nassau,NY,11758,Oyster Bay,Town,36059520800,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,7/12/2019,11/14/2019,Complete,Hytech Solar Inc,No,Enphase Energy Inc.,IQ7-60-x-US [240V],30,"Jinko Solar Co., Ltd",JKM310M-60L,30,35709,,9.3,11385,,No,No,Yes,40.7077107,-73.4709782,POINT (-73.4709782 40.7077107)
